bp	annual_hunting_mortality
4802	0.050000
4801	0.050000
4800	0.050000
4799	0.050000
4798	0.050000
4797	0.050000
4796	0.050000
4795	0.050000
4794	0.050000
4793	0.050000
4792	0.050000
4791	0.050000
4790	0.050000
4789	0.050000
4788	0.050000
4787	0.050000
4786	0.050000
4785	0.050000
4784	0.050000
4783	0.050000
4782	0.050000
4781	0.050000
4780	0.050000
4779	0.050000
4778	0.050000
4777	0.050000
4776	0.050000
4775	0.050000
4774	0.050000
4773	0.050000
4772	0.050000
4771	0.050000
4770	0.050000
4769	0.050000
4768	0.050000
4767	0.050000
4766	0.050000
4765	0.050000
4764	0.050000
4763	0.050000
4762	0.050000
4761	0.050000
4760	0.050000
4759	0.050000
4758	0.050000
4757	0.050000
4756	0.050000
4755	0.050000
4754	0.050000
4753	0.050000
4752	0.050000
4751	0.050000
4750	0.050000
4749	0.050000
4748	0.050000
4747	0.050000
4746	0.050000
4745	0.050000
4744	0.050000
4743	0.050000
4742	0.050000
4741	0.050000
4740	0.050000
4739	0.050000
4738	0.050000
4737	0.050000
4736	0.050000
4735	0.050000
4734	0.050000
4733	0.050000
4732	0.050000
4731	0.050000
4730	0.050000
4729	0.050000
4728	0.050000
4727	0.050000
4726	0.050000
4725	0.050000
4724	0.050000
4723	0.050000
4722	0.050000
4721	0.050000
4720	0.050000
4719	0.050000
4718	0.050000
4717	0.050000
4716	0.050000
4715	0.050000
4714	0.050000
4713	0.050000
4712	0.050000
4711	0.050000
4710	0.050000
4709	0.050000
4708	0.050000
4707	0.050000
4706	0.050000
4705	0.050000
4704	0.050000
4703	0.050000
4702	0.050000
4701	0.050000
4700	0.050000
4699	0.050000
4698	0.050000
4697	0.050000
4696	0.050000
4695	0.050000
4694	0.050000
4693	0.050000
4692	0.050000
4691	0.050000
4690	0.050000
4689	0.050000
4688	0.050000
4687	0.050000
4686	0.050000
4685	0.050000
4684	0.050000
4683	0.050000
4682	0.050000
4681	0.050000
4680	0.050000
4679	0.050000
4678	0.050000
4677	0.050000
4676	0.050000
4675	0.050000
4674	0.050000
4673	0.050000
4672	0.050000
4671	0.050000
4670	0.050000
4669	0.050000
4668	0.050000
4667	0.050000
4666	0.050000
4665	0.050000
4664	0.050000
4663	0.050000
4662	0.050000
4661	0.050000
4660	0.050000
4659	0.050000
4658	0.050000
4657	0.050000
4656	0.050000
4655	0.050000
4654	0.050000
4653	0.050000
4652	0.050000
4651	0.050000
4650	0.050000
4649	0.050000
4648	0.050000
4647	0.050000
4646	0.050000
4645	0.050000
4644	0.050000
4643	0.050000
4642	0.050000
4641	0.050000
4640	0.050000
4639	0.050000
4638	0.050000
4637	0.050000
4636	0.050000
4635	0.050000
4634	0.050000
4633	0.050000
4632	0.050000
4631	0.050000
4630	0.050000
4629	0.050000
4628	0.050000
4627	0.050000
4626	0.050000
4625	0.050000
4624	0.050000
4623	0.050000
4622	0.050000
4621	0.050000
4620	0.050000
4619	0.050000
4618	0.050000
4617	0.050000
4616	0.050000
4615	0.050000
4614	0.050000
4613	0.050000
4612	0.050000
4611	0.050000
4610	0.050000
4609	0.050000
4608	0.050000
4607	0.050000
4606	0.050000
4605	0.050000
4604	0.050000
4603	0.050000
4602	0.050000
4601	0.050000
4600	0.050000
4599	0.050000
4598	0.050000
4597	0.050000
4596	0.050000
4595	0.050000
4594	0.050000
4593	0.050000
4592	0.050000
4591	0.050000
4590	0.050000
4589	0.050000
4588	0.050000
4587	0.050000
4586	0.050000
4585	0.050000
4584	0.050000
4583	0.050000
4582	0.050000
4581	0.050000
4580	0.050000
4579	0.050000
4578	0.050000
4577	0.050000
4576	0.050000
4575	0.050000
4574	0.050000
4573	0.050000
4572	0.050000
4571	0.050000
4570	0.050000
4569	0.050000
4568	0.050000
4567	0.050000
4566	0.050000
4565	0.050000
4564	0.050000
4563	0.050000
4562	0.050000
4561	0.050000
4560	0.050000
4559	0.050000
4558	0.050000
4557	0.050000
4556	0.050000
4555	0.050000
4554	0.050000
4553	0.050000
4552	0.050000
4551	0.050000
4550	0.050000
4549	0.050000
4548	0.050000
4547	0.050000
4546	0.050000
4545	0.050000
4544	0.050000
4543	0.050000
4542	0.050000
4541	0.050000
4540	0.050000
4539	0.050000
4538	0.050000
4537	0.050000
4536	0.050000
4535	0.050000
4534	0.050000
4533	0.050000
4532	0.050000
4531	0.050000
4530	0.050000
4529	0.050000
4528	0.050000
4527	0.050000
4526	0.050000
4525	0.050000
4524	0.050000
4523	0.050000
4522	0.050000
4521	0.050000
4520	0.050000
4519	0.050000
4518	0.050000
4517	0.050000
4516	0.050000
4515	0.050000
4514	0.050000
4513	0.050000
4512	0.050000
4511	0.050000
4510	0.050000
4509	0.050000
4508	0.050000
4507	0.050000
4506	0.050000
4505	0.050000
4504	0.050000
4503	0.050000
4502	0.050000
4501	0.050000
4500	0.050000
4499	0.050000
4498	0.050000
4497	0.050000
4496	0.050000
4495	0.050000
4494	0.050000
4493	0.050000
4492	0.050000
4491	0.050000
4490	0.050000
4489	0.050000
4488	0.050000
4487	0.050000
4486	0.050000
4485	0.050000
