cycle	bp	scenario	genetic_mode	stage	N	age_0_1	age_2_4	age_5_9	age_10_14	age_15_19	age_20_28	OMU_count	dominant_males	dominant_candidate_males	backup_candidate_males	AMU_dominant_candidate_males	AMU_backup_candidate_males	vacant_OMU_count	invalid_dominant_males	duplicate_dominant_males
50	100	M1	selected	pre_breeding	105	29	31	26	12	6	1	6	6	5	17	0	11	0	0	0
50	100	M1	selected	post_mortality	100	27	31	25	11	6	0	5	5	5	17	0	11	0	1	0
51	99	M1	selected	pre_breeding	100	17	32	31	13	6	1	5	5	6	19	1	14	0	0	0
51	99	M1	selected	post_mortality	106	31	30	28	11	5	1	5	3	4	16	1	13	2	0	0
52	98	M1	selected	pre_breeding	106	14	36	33	17	4	2	5	5	9	16	4	11	0	0	0
52	98	M1	selected	post_mortality	103	29	32	26	11	3	2	5	4	7	12	3	8	1	0	0
53	97	M1	selected	pre_breeding	103	15	37	31	14	4	2	5	5	9	14	4	9	0	0	0
53	97	M1	selected	post_mortality	102	25	35	28	10	2	2	5	2	5	9	3	7	3	0	0
54	96	M1	selected	pre_breeding	102	13	39	32	13	3	2	5	5	6	13	1	8	0	0	0
54	96	M1	selected	post_mortality	102	25	37	26	10	2	2	5	4	4	6	0	2	1	0	0
55	95	M1	selected	pre_breeding	102	13	37	35	12	3	2	5	5	4	11	0	6	0	0	0
55	95	M1	selected	post_mortality	99	21	31	32	10	3	2	5	4	3	10	0	6	1	0	0
56	94	M1	selected	pre_breeding	99	11	31	37	13	4	3	5	5	5	14	0	9	0	0	0
56	94	M1	selected	post_mortality	103	29	26	30	12	4	2	5	4	4	11	0	7	1	0	0
57	93	M1	selected	pre_breeding	103	19	29	33	15	5	2	5	5	3	17	0	12	0	0	0
57	93	M1	selected	post_mortality	103	31	26	27	13	4	2	5	4	2	12	0	8	1	0	0
58	92	M1	selected	pre_breeding	103	13	34	32	17	5	2	6	6	5	16	0	10	0	0	0
58	92	M1	selected	post_mortality	100	30	24	26	14	5	1	6	5	4	14	0	9	1	0	0
59	91	M1	selected	pre_breeding	100	20	28	29	16	5	2	6	6	5	16	0	10	0	0	0
59	91	M1	selected	post_mortality	99	31	24	24	14	5	1	6	5	4	15	0	10	1	0	0
60	90	M1	selected	pre_breeding	99	14	38	22	17	7	1	6	6	7	17	1	11	0	0	0
60	90	M1	selected	post_mortality	101	24	35	20	17	5	0	6	6	7	15	1	9	0	0	0
61	89	M1	selected	pre_breeding	101	11	39	25	17	7	2	6	6	11	18	5	12	0	0	0
61	89	M1	selected	post_mortality	104	23	39	21	13	7	1	6	5	8	15	3	10	1	0	0
62	88	M1	selected	pre_breeding	104	12	41	28	12	10	1	6	6	8	14	2	8	0	0	0
62	88	M1	selected	post_mortality	102	21	34	25	12	9	1	6	6	8	14	2	8	0	0	0
63	87	M1	selected	pre_breeding	102	9	32	34	15	10	2	6	6	10	19	4	13	0	0	0
63	87	M1	selected	post_mortality	103	22	30	32	9	8	2	5	3	6	15	2	11	2	1	0
64	86	M1	selected	pre_breeding	103	15	25	38	14	8	3	6	6	8	19	2	13	0	0	0
64	86	M1	selected	post_mortality	93	24	19	35	10	4	1	6	4	6	14	2	10	2	0	0
65	85	M1	selected	pre_breeding	93	11	27	39	10	5	1	6	6	6	22	0	16	0	0	0
65	85	M1	selected	post_mortality	101	24	25	37	9	5	1	6	6	6	21	0	15	0	0	0
66	84	M1	selected	pre_breeding	101	14	29	39	11	5	3	6	6	9	28	3	22	0	0	0
66	84	M1	selected	post_mortality	99	23	25	36	9	4	2	6	4	7	25	3	21	2	0	0
67	83	M1	selected	pre_breeding	99	11	33	35	14	3	3	6	6	9	26	3	20	0	0	0
67	83	M1	selected	post_mortality	95	24	24	32	10	2	3	6	5	7	22	2	17	1	0	0
68	82	M1	selected	pre_breeding	95	13	27	31	18	2	4	7	7	14	23	7	16	0	0	0
68	82	M1	selected	post_mortality	102	27	23	28	18	2	4	7	7	14	22	7	15	0	0	0
69	81	M1	selected	pre_breeding	102	16	30	22	27	3	4	7	7	20	24	13	17	0	0	0
