cycle	bp	scenario	genetic_mode	N	K_t	climate_K_factor	human_K_factor	q_hunting	N_female	N_male	N_juvenile	N_age0	N_age1	adult_females	adult_males	breeding_females	candidate_fathers	OMU_count	AMU_males	AMU_count_proxy	AMU_males_per_OMU	dominant_males	no_breeder_years	quasi_extinct	functional_extinct	demographic_extinct	mean_age	density_factor
135	15	M3	selected	88	90.0	1.0	0.9	0.01	42	46	51	11	9	15	15	1	15	3	25	3	8.33333	2	0	0	0	0	5.39773	0.869278
136	14	M3	selected	90	90.0	1.0	0.9	0.01	43	47	50	8	11	13	15	0	15	3	29	3	9.66667	3	1	0	0	0	5.58889	0.992544
137	13	M3	selected	97	90.0	1.0	0.9	0.01	46	51	48	11	8	17	19	0	19	3	32	4	10.6667	3	2	0	0	0	5.89691	0.948822
138	12	M3	selected	88	90.0	1.0	0.9	0.01	43	45	44	13	8	17	20	2	20	4	26	3	6.5	4	0	0	0	0	5.5	0.872061
139	11	M3	selected	89	90.0	1.0	0.9	0.01	45	44	46	10	13	19	20	0	20	4	22	3	5.5	3	1	0	0	0	5.2809	0.958553
140	10	M3	selected	91	90.0	1.0	0.9	0.01	45	46	45	13	9	25	18	1	18	4	21	3	5.25	4	0	0	0	0	5.16484	0.91147
141	9	M3	selected	90	90.0	1.0	0.9	0.01	47	43	45	13	10	26	16	3	16	5	16	2	3.2	4	0	0	0	0	5.37778	0.88991
142	8	M3	selected	90	90.0	1.0	0.9	0.01	44	46	47	14	11	25	15	1	15	5	17	2	3.4	4	0	0	0	0	5.32222	0.882595
143	7	M3	selected	87	90.0	1.0	0.9	0.01	43	44	48	15	11	23	13	2	13	5	17	2	3.4	3	0	0	0	0	5.29885	0.893119
144	6	M3	selected	86	90.0	1.0	0.9	0.01	44	42	47	10	13	22	13	2	13	5	16	2	3.2	5	0	0	0	0	5.5	0.963427
145	5	M3	selected	90	90.0	1.0	0.9	0.01	50	40	49	10	10	21	14	0	14	5	17	2	3.4	5	1	0	0	0	5.5	0.954751
146	4	M3	selected	90	90.0	1.0	0.9	0.01	49	41	49	13	10	21	15	0	15	5	22	3	4.4	4	2	0	0	0	5.57778	0.901347
147	3	M3	selected	94	90.0	1.0	0.9	0.01	51	43	50	10	13	21	15	0	15	5	24	3	4.8	3	3	0	0	0	5.6383	0.936839
148	2	M3	selected	87	90.0	1.0	0.9	0.01	47	40	45	12	10	21	13	0	13	5	19	2	3.8	4	4	0	0	0	5.58621	0.861929
149	1	M3	selected	91	90.0	1.0	0.9	0.01	46	45	51	12	10	18	15	2	15	5	18	2	3.6	4	0	0	0	0	5.63736	0.964555
150	0	M3	selected	94	90.0	1.0	0.9	0.01	46	48	54	14	10	21	16	2	16	5	18	2	3.6	5	0	0	0	0	5.59574	0.911227
