cycle	bp	scenario	genetic_mode	N	sample_n	mean_genetic_fitness	mean_2B	mean_het_del	mean_hom_del	mean_weak_het	mean_moderate_het	mean_strong_het	mean_vstrong_het	segregating_del_muts	fixed_del_muts
50	100	M3	selected	105	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
50	100	M3	selected	93	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
51	99	M3	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
52	98	M3	selected	86	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
53	97	M3	selected	92	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
54	96	M3	selected	86	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
55	95	M3	selected	84	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
56	94	M3	selected	89	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
57	93	M3	selected	90	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
58	92	M3	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
59	91	M3	selected	79	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
60	90	M3	selected	84	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
61	89	M3	selected	87	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
62	88	M3	selected	90	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
63	87	M3	selected	89	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
64	86	M3	selected	90	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
65	85	M3	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
66	84	M3	selected	90	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
67	83	M3	selected	92	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
68	82	M3	selected	95	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
69	81	M3	selected	93	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
70	80	M3	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
71	79	M3	selected	92	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
72	78	M3	selected	89	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
73	77	M3	selected	85	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
74	76	M3	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
75	75	M3	selected	92	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
76	74	M3	selected	96	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
77	73	M3	selected	92	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
78	72	M3	selected	88	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
79	71	M3	selected	87	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
80	70	M3	selected	85	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
81	69	M3	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
82	68	M3	selected	90	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
83	67	M3	selected	90	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
84	66	M3	selected	93	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
85	65	M3	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
86	64	M3	selected	88	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
87	63	M3	selected	89	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
88	62	M3	selected	86	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
89	61	M3	selected	92	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
