cycle	bp	scenario	genetic_mode	stage	N	age_0_1	age_2_4	age_5_9	age_10_14	age_15_19	age_20_28	OMU_count	dominant_males	dominant_candidate_males	backup_candidate_males	AMU_dominant_candidate_males	AMU_backup_candidate_males	vacant_OMU_count	invalid_dominant_males	duplicate_dominant_males
50	100	M4	selected	pre_breeding	105	29	31	26	12	6	1	6	6	5	17	0	11	0	0	0
50	100	M4	selected	post_mortality	87	25	27	20	10	4	1	6	5	4	11	0	6	1	0	0
51	99	M4	selected	pre_breeding	87	15	28	26	12	5	1	5	5	5	12	0	7	0	0	0
51	99	M4	selected	post_mortality	80	26	20	22	8	4	0	5	4	4	9	0	5	1	0	0
52	98	M4	selected	pre_breeding	80	15	24	27	10	3	1	5	5	6	9	1	4	0	0	0
52	98	M4	selected	post_mortality	93	30	24	26	9	3	1	5	4	5	8	1	4	1	0	0
53	97	M4	selected	pre_breeding	93	15	34	28	11	3	2	5	5	7	11	2	6	0	0	0
53	97	M4	selected	post_mortality	87	23	29	24	6	3	2	5	4	5	9	1	5	1	0	0
54	96	M4	selected	pre_breeding	87	9	37	26	10	2	3	5	5	5	11	0	6	0	0	0
54	96	M4	selected	post_mortality	86	17	34	24	8	2	1	4	3	4	10	0	6	1	1	0
55	95	M4	selected	pre_breeding	86	10	33	30	9	3	1	5	5	4	14	0	9	0	0	0
55	95	M4	selected	post_mortality	93	24	32	27	7	2	1	5	4	4	13	0	9	1	0	0
56	94	M4	selected	pre_breeding	93	14	29	33	12	3	2	5	5	6	14	1	9	0	0	0
56	94	M4	selected	post_mortality	98	23	27	31	12	3	2	5	5	6	14	1	9	0	0	0
57	93	M4	selected	pre_breeding	98	9	29	40	14	4	2	5	5	7	19	2	14	0	0	0
57	93	M4	selected	post_mortality	81	23	18	28	9	1	2	5	2	3	10	1	8	3	0	0
58	92	M4	selected	pre_breeding	81	16	21	29	12	1	2	5	5	6	14	1	9	0	0	0
58	92	M4	selected	post_mortality	89	28	20	28	11	1	1	5	4	5	13	1	9	1	0	0
59	91	M4	selected	pre_breeding	89	13	30	30	12	3	1	5	5	6	16	1	11	0	0	0
59	91	M4	selected	post_mortality	86	23	26	27	7	2	1	4	1	3	12	1	10	3	1	0
