cycle	bp	scenario	genetic_mode	N	sample_n	mean_genetic_fitness	mean_2B	mean_het_del	mean_hom_del	mean_weak_het	mean_moderate_het	mean_strong_het	mean_vstrong_het	segregating_del_muts	fixed_del_muts
50	100	M1	selected	105	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
50	100	M1	selected	100	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
55	95	M1	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
59	91	M1	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
64	86	M1	selected	93	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
66	84	M1	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
67	83	M1	selected	95	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
69	81	M1	selected	98	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
72	78	M1	selected	97	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
73	77	M1	selected	99	20	0.999991	0.000888832	0.05	0.0	0.0	0.0	0.05	0.0	1	0
77	73	M1	selected	97	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
80	70	M1	selected	93	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
87	63	M1	selected	98	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
88	62	M1	selected	97	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
90	60	M1	selected	95	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
91	59	M1	selected	97	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
92	58	M1	selected	97	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
100	50	M1	selected	104	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
103	47	M1	selected	96	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
104	46	M1	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
106	44	M1	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
107	43	M1	selected	98	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
110	40	M1	selected	98	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
111	39	M1	selected	93	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
112	38	M1	selected	95	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
115	35	M1	selected	97	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
116	34	M1	selected	96	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
120	30	M1	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
122	28	M1	selected	92	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
124	26	M1	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
136	14	M1	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
137	13	M1	selected	97	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
141	9	M1	selected	95	20	1.0	3.69796e-07	0.05	0.0	0.05	0.0	0.0	0.0	1	0
144	6	M1	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
145	5	M1	selected	94	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
146	4	M1	selected	96	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
147	3	M1	selected	94	20	1.0	3.69796e-07	0.05	0.0	0.05	0.0	0.0	0.0	1	0
150	0	M1	selected	109	20	1.0	7.39591e-07	0.1	0.0	0.1	0.0	0.0	0.0	1	0
